CID,Descriptor,Institution,Institution type,Course_Title,Local_Course_ID,Approval date,COR effective term,GI01,CB00,Last_Updated
MATH 250,Introduction to Linear Algebra,College of Alameda,California Community College,Linear Algebra,MATH3E,2023-09-01,Fall 2015,341,CCC000373222,2023-10-07
MATH 250,Introduction to Linear Algebra,Chaffey College,California Community College,Linear Algebra,MATH81,2023-09-01,Fall 2013,921,CCC000394100,2023-10-07
MATH 250,Introduction to Linear Algebra,Butte College,California Community College,Linear Algebra,MATH42,2023-09-01,Spring 2013,111,CCC000190850,2023-10-07
MATH 250,Introduction to Linear Algebra,Cuyamaca College,California Community College,Linear Algebra,MATH284,2023-09-01,Fall 2013,021,CCC000030268,2023-10-07
MATH 250,Introduction to Linear Algebra,Mendocino College,California Community College,Linear Algebra,MTH214,2023-09-01,Fall 2014,141,CCC000107193,2023-10-07
MATH 250,Introduction to Linear Algebra,MiraCosta College,California Community College,Linear Algebra,MATH270,2023-09-01,Fall 2014,051,CCC000212444,2023-10-07
MATH 250,Introduction to Linear Algebra,MiraCosta College,California Community College,Linear Algebra,MATH270,2023-09-01,Fall 2014,051,CCC000550225,2023-10-07
MATH 250,Introduction to Linear Algebra,Los Angeles Mission College,California Community College,Linear Algebra,MATH270,2023-09-01,Fall 2015,743,CCC000415885,2023-10-07
MATH 230,Multivariable Calculus,West Valley College,California Community College,Intermediate Calculus,MATH004A,2023-09-01,Summer 2015,493,CCC000218320,2023-10-07
MATH 230,Multivariable Calculus,West Valley College,California Community College,Intermediate Calculus,MATH004A,2023-09-01,Summer 2015,493,CCC000534425,2023-10-07
MATH 230,Multivariable Calculus,Yuba College,California Community College,Multivariable Calculus,MATH1C,2023-09-01,Fall 2013,291,CCC000536664,2023-10-07
MATH 230,Multivariable Calculus,Skyline College,California Community College,Calculus with Analytic Geometry III,MATH253,2023-09-01,Spring 2015,373,CCC000371068,2023-10-07
MATH 230,Multivariable Calculus,Oxnard College,California Community College,Calculus with Analytic Geometry III,MATHR122,2023-09-01,Fall 2013,682,CCC000244077,2023-10-07
MATH 230,Multivariable Calculus,Monterey Peninsula College,California Community College,Calculus of Several Variables,MATH20C,2023-09-01,Fall 2015,461,CCC000340041,2023-10-07
MATH 230,Multivariable Calculus,Monterey Peninsula College,California Community College,Calculus of Several Variables,MATH20C,2023-09-01,Fall 2015,461,CCC000566618,2023-10-07
MATH 230,Multivariable Calculus,Santa Barbara City College,California Community College,Multivariable Calculus,MATH200,2023-09-01,Spring 2015,651,CCC000421460,2023-10-07
MATH 230,Multivariable Calculus,Santa Ana College,California Community College,Intermediate Calculus,MATH280,2023-09-01,Fall 2015,871,CCC000392822,2023-10-07
MATH 230,Multivariable Calculus,Fresno City College,California Community College,Mathematical Analysis III,MATH6,2023-09-01,Fall 2013,571,CCC000162176,2023-10-07
MATH 240,Ordinary Differential Equations,Cosumnes River College,California Community College,Differential Equations,MATH420,2023-09-01,Summer 2015,232,CCC000325470,2023-10-07
MATH 250,Introduction to Linear Algebra,Palomar College,California Community College,Introduction to Linear Algebra,MATH200,2023-09-01,Fall 2014,061,CCC000286040,2023-10-07
MATH 250,Introduction to Linear Algebra,Napa Valley College,California Community College,Linear Algebra,MATH220,2023-09-01,Fall 2013,241,CCC000291468,2023-10-07
MATH 230,Multivariable Calculus,Napa Valley College,California Community College,Multivariable Calculus,MATH221,2023-09-01,Fall 2013,241,CCC000249331,2023-10-07
MATH 230,Multivariable Calculus,Napa Valley College,California Community College,Multivariable Calculus,MATH221,2023-09-01,Fall 2013,241,CCC000522978,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Fresno City College,California Community College,Mathematical Analysis II,MATH5B,2023-09-01,Fall 2013,571,CCC000266719,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Mendocino College,California Community College,Calculus and Analytic Geometry II,MTH211,2023-09-01,Fall 2014,141,CCC000504452,2023-10-07
MATH 220,Single Variable Calculus II Early Transcendentals,Mendocino College,California Community College,Calculus and Analytic Geometry II,MTH211,2023-09-01,Fall 2014,141,CCC000268134,2023-10-07
MATH 230,Multivariable Calculus,College of Alameda,California Community College,Calculus III,MATH3C,2023-09-01,Fall 2015,341,CCC000380993,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Mendocino College,California Community College,Calculus and Analytic Geometry I,MTH210,2023-09-01,Fall 2014,141,CCC000504451,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Mendocino College,California Community College,Calculus and Analytic Geometry I,MTH210,2023-09-01,Fall 2014,141,CCC000093173,2023-10-07
MATH 230,Multivariable Calculus,Butte College,California Community College,Analytic Geometry and Calculus III,MATH32,2023-09-01,Spring 2013,111,CCC000330199,2023-10-07
MATH 250,Introduction to Linear Algebra,Cosumnes River College,California Community College,Introduction to Linear Algebra,MATH410,2023-09-01,Summer 2015,232,CCC000293482,2023-10-07
MATH 230,Multivariable Calculus,Berkeley City College,California Community College,Calculus III,MATH3C,2023-09-01,Fall 2013,345,CCC000439101,2023-10-07
MATH 230,Multivariable Calculus,Cuesta College,California Community College,Calculus III:  Multivariable Calculus,MATH283,2023-09-01,Fall 2015,641,CCC000506808,2023-10-07
MATH 230,Multivariable Calculus,Cuesta College,California Community College,Calculus III:  Multivariable Calculus,MATH283,2023-09-01,Fall 2015,641,CCC000559337,2023-10-07
MATH 210,Single Variable Calculus I Early Transcendentals,Santiago Canyon College,California Community College,Single Varialbe Calculus I,MATH180,2023-09-01,Fall 2011,873,CCC000100457,2023-10-07
